,file,page,question,score,target,len_question,qst_words,qst_clean,len_qst_cln,year,flag_what_meant,qst_tokenised,tokens_without_punctuationa,tokens_lemm,tokens_lst
70,Question paper - Unit 1 (WBS11) - January 2022.pdf,18,Assess the benefits for Aldi of sponsoring the UK Olympic team.,8,marketing mix and strategy,63,"['Assess', 'the', 'benefits', 'for', 'Aldi', 'of', 'sponsoring', 'the', 'UK', 'Olympic', 'team.']",assess benefits aldi sponsoring uk olympic team.,48,2022,0,"['assess', 'benefits', 'aldi', 'sponsoring', 'uk', 'olympic', 'team', '.']","['assess', 'benefits', 'aldi', 'sponsoring', 'uk', 'olympic', 'team']","['assess', 'benefit', 'aldi', 'sponsor', 'uk', 'olympic', 'team']",assess benefits aldi sponsoring uk olympic team
71,Question paper - Unit 1 (WBS11) - January 2022.pdf,19,Assess the likely impact of price comparison websites on supermarkets in the UK.,10,marketing mix and strategy,80,"['Assess', 'the', 'likely', 'impact', 'of', 'price', 'comparison', 'websites', 'on', 'supermarkets', 'in', 'the', 'UK.']",assess likely impact price comparison websites supermarkets uk.,63,2022,0,"['assess', 'likely', 'impact', 'price', 'comparison', 'websites', 'supermarkets', 'uk', '.']","['assess', 'likely', 'impact', 'price', 'comparison', 'websites', 'supermarkets', 'uk']","['assess', 'likely', 'impact', 'price', 'comparison', 'website', 'supermarket', 'uk']",assess likely impact price comparison websites supermarkets uk
72,Question paper - A Level Paper 1 - June 2022.pdf,5,"Using the data in Extract A, draw a supply and demand diagram to show the possible impact of the change in the price of gold, between 6 December 2019 and 5 January 2020, on the luxury watch market.",4,the market,197,"['Using', 'the', 'data', 'in', 'Extract', 'A,', 'draw', 'a', 'supply', 'and', 'demand', 'diagram', 'to', 'show', 'the', 'possible', 'impact', 'of', 'the', 'change', 'in', 'the', 'price', 'of', 'gold,', 'between', '6', 'December', '2019', 'and', '5', 'January', '2020,', 'on', 'the', 'luxury', 'watch', 'market.']","using data extract a, draw supply demand diagram show possible impact change price gold, 6 december 2019 5 january 2020, luxury watch market.",141,2022,0,"['using', 'data', 'extract', 'a', ',', 'draw', 'supply', 'demand', 'diagram', 'show', 'possible', 'impact', 'change', 'price', 'gold', ',', '6', 'december', '2019', '5', 'january', '2020', ',', 'luxury', 'watch', 'market', '.']","['using', 'data', 'extract', 'a', 'draw', 'supply', 'demand', 'diagram', 'show', 'possible', 'impact', 'change', 'price', 'gold', '6', 'december', '2019', '5', 'january', '2020', 'luxury', 'watch', 'market']","['use', 'data', 'extract', 'a', 'draw', 'supply', 'demand', 'diagram', 'show', 'possible', 'impact', 'change', 'price', 'gold', '6', 'december', '2019', '5', 'january', '2020', 'luxury', 'watch', 'market']",using data extract a draw supply demand diagram show possible impact change price gold 6 december 2019 5 january 2020 luxury watch market
73,Question paper - A Level Paper 1 - June 2022.pdf,6,Explain one way in which product orientation is important to Rolex.,4,meeting customer needs,67,"['Explain', 'one', 'way', 'in', 'which', 'product', 'orientation', 'is', 'important', 'to', 'Rolex.']",explain one way product orientation important rolex.,52,2022,0,"['explain', 'one', 'way', 'product', 'orientation', 'important', 'rolex', '.']","['explain', 'one', 'way', 'product', 'orientation', 'important', 'rolex']","['explain', 'one', 'way', 'product', 'orientation', 'important', 'rolex']",explain one way product orientation important rolex
74,Question paper - A Level Paper 1 - June 2022.pdf,7,Assess the importance of creativity as a characteristic of the entrepreneur Hans Wilsdorf.,10,entrepreneurs and leaders,90,"['Assess', 'the', 'importance', 'of', 'creativity', 'as', 'a', 'characteristic', 'of', 'the', 'entrepreneur', 'Hans', 'Wilsdorf.']",assess importance creativity characteristic entrepreneur hans wilsdorf.,71,2022,0,"['assess', 'importance', 'creativity', 'characteristic', 'entrepreneur', 'hans', 'wilsdorf', '.']","['assess', 'importance', 'creativity', 'characteristic', 'entrepreneur', 'hans', 'wilsdorf']","['assess', 'importance', 'creativity', 'characteristic', 'entrepreneur', 'han', 'wilsdorf']",assess importance creativity characteristic entrepreneur hans wilsdorf
75,Question paper - A Level Paper 1 - June 2022.pdf,9,Assess the likely importance of distribution (place) in Rolex’s marketing mix.,12,marketing mix and strategy,78,"['Assess', 'the', 'likely', 'importance', 'of', 'distribution', '(place)', 'in', 'Rolex’s', 'marketing', 'mix.']",assess likely importance distribution (place) rolex’s marketing mix.,68,2022,0,"['assess', 'likely', 'importance', 'distribution', '(', 'place', ')', 'rolex', '’', 's', 'marketing', 'mix', '.']","['assess', 'likely', 'importance', 'distribution', 'place', 'rolex', 's', 'marketing', 'mix']","['assess', 'likely', 'importance', 'distribution', 'place', 'rolex', 's', 'market', 'mix']",assess likely importance distribution place rolex s marketing mix
76,Question paper - A Level Paper 1 - June 2022.pdf,11,Evaluate these two options and recommend which one is more likely to support Rolex remaining competitive in the luxury watch market.,20,?,132,"['Evaluate', 'these', 'two', 'options', 'and', 'recommend', 'which', 'one', 'is', 'more', 'likely', 'to', 'support', 'Rolex', 'remaining', 'competitive', 'in', 'the', 'luxury', 'watch', 'market.']",evaluate two options recommend one likely support rolex remaining competitive luxury watch market.,98,2022,0,"['evaluate', 'two', 'options', 'recommend', 'one', 'likely', 'support', 'rolex', 'remaining', 'competitive', 'luxury', 'watch', 'market', '.']","['evaluate', 'two', 'options', 'recommend', 'one', 'likely', 'support', 'rolex', 'remaining', 'competitive', 'luxury', 'watch', 'market']","['evaluate', 'two', 'option', 'recommend', 'one', 'likely', 'support', 'rolex', 'remain', 'competitive', 'luxury', 'watch', 'market']",evaluate two options recommend one likely support rolex remaining competitive luxury watch market
77,Question paper - A Level Paper 1 - June 2022.pdf,18,"Using the data in Extract D, calculate Nike’s market share of worldwide sports footwear in 2018. State your answer to 2 decimal places. You are advised to show your working.",4,meeting customer needs,173,"['Using', 'the', 'data', 'in', 'Extract', 'D,', 'calculate', 'Nike’s', 'market', 'share', 'of', 'worldwide', 'sports', 'footwear', 'in', '2018.', 'State', 'your', 'answer', 'to', '2', 'decimal', 'places.', 'You', 'are', 'advised', 'to', 'show', 'your', 'working.']","using data extract d, calculate nike’s market share worldwide sports footwear 2018. state answer 2 decimal places. you advised show working.",140,2022,0,"['using', 'data', 'extract', 'd', ',', 'calculate', 'nike', '’', 's', 'market', 'share', 'worldwide', 'sports', 'footwear', '2018.', 'state', 'answer', '2', 'decimal', 'places', '.', 'you', 'advised', 'show', 'working', '.']","['using', 'data', 'extract', 'd', 'calculate', 'nike', 's', 'market', 'share', 'worldwide', 'sports', 'footwear', '2018.', 'state', 'answer', '2', 'decimal', 'places', 'you', 'advised', 'show', 'working']","['use', 'data', 'extract', 'd', 'calculate', 'nike', 's', 'market', 'share', 'worldwide', 'sport', 'footwear', '2018.', 'state', 'answer', '2', 'decimal', 'place', 'you', 'advise', 'show', 'work']",using data extract d calculate nike s market share worldwide sports footwear 2018. state answer 2 decimal places you advised show working
81,Question paper - A Level Paper 1 - June 2022.pdf,24,Evaluate these two options and recommend which one is most suitable for Nike to maintain its global competitiveness.,20,meeting customer needs,116,"['Evaluate', 'these', 'two', 'options', 'and', 'recommend', 'which', 'one', 'is', 'most', 'suitable', 'for', 'Nike', 'to', 'maintain', 'its', 'global', 'competitiveness.']",evaluate two options recommend one suitable nike maintain global competitiveness.,81,2022,0,"['evaluate', 'two', 'options', 'recommend', 'one', 'suitable', 'nike', 'maintain', 'global', 'competitiveness', '.']","['evaluate', 'two', 'options', 'recommend', 'one', 'suitable', 'nike', 'maintain', 'global', 'competitiveness']","['evaluate', 'two', 'option', 'recommend', 'one', 'suitable', 'nike', 'maintain', 'global', 'competitiveness']",evaluate two options recommend one suitable nike maintain global competitiveness
82,Question paper - A Level Paper 1 - November 2021.pdf,4,"Using the data in Extract A, calculate the change in value of sugar-free sweets sales predicted between 2018 and 2023. State your answer to 2 decimal places. You are advised to show your working.",4,meeting customer needs,195,"['Using', 'the', 'data', 'in', 'Extract', 'A,', 'calculate', 'the', 'change', 'in', 'value', 'of', 'sugar-free', 'sweets', 'sales', 'predicted', 'between', '2018', 'and', '2023.', 'State', 'your', 'answer', 'to', '2', 'decimal', 'places.', 'You', 'are', 'advised', 'to', 'show', 'your', 'working.']","using data extract a, calculate change value sugar-free sweets sales predicted 2018 2023. state answer 2 decimal places. you advised show working.",146,2021,0,"['using', 'data', 'extract', 'a', ',', 'calculate', 'change', 'value', 'sugar-free', 'sweets', 'sales', 'predicted', '2018', '2023.', 'state', 'answer', '2', 'decimal', 'places', '.', 'you', 'advised', 'show', 'working', '.']","['using', 'data', 'extract', 'a', 'calculate', 'change', 'value', 'sugar-free', 'sweets', 'sales', 'predicted', '2018', '2023.', 'state', 'answer', '2', 'decimal', 'places', 'you', 'advised', 'show', 'working']","['use', 'data', 'extract', 'a', 'calculate', 'change', 'value', 'sugar-free', 'sweet', 'sale', 'predict', '2018', '2023.', 'state', 'answer', '2', 'decimal', 'place', 'you', 'advise', 'show', 'work']",using data extract a calculate change value sugar-free sweets sales predicted 2018 2023. state answer 2 decimal places you advised show working
83,Question paper - A Level Paper 1 - November 2021.pdf,5,Explain one way in which a business such as Bon Bon’s adds value to the products it sells.,4,meeting customer needs,90,"['Explain', 'one', 'way', 'in', 'which', 'a', 'business', 'such', 'as', 'Bon', 'Bon’s', 'adds', 'value', 'to', 'the', 'products', 'it', 'sells.']",explain one way business bon bon’s adds value products sells.,61,2021,0,"['explain', 'one', 'way', 'business', 'bon', 'bon', '’', 's', 'adds', 'value', 'products', 'sells', '.']","['explain', 'one', 'way', 'business', 'bon', 'bon', 's', 'adds', 'value', 'products', 'sells']","['explain', 'one', 'way', 'business', 'bon', 'bon', 's', 'add', 'value', 'product', 'sell']",explain one way business bon bon s adds value products sells
84,Question paper - A Level Paper 1 - November 2021.pdf,6,Assess a likely trade-off for Bon Bon’s of not having ‘mass market ambition. ’,10,meeting customer needs,78,"['Assess', 'a', 'likely', 'trade-off', 'for', 'Bon', 'Bon’s', 'of', 'not', 'having', '‘mass', 'market', 'ambition.', '’']",assess likely trade-off bon bon’s ‘mass market ambition. ’,58,2021,0,"['assess', 'likely', 'trade-off', 'bon', 'bon', '’', 's', '‘', 'mass', 'market', 'ambition', '.', '’']","['assess', 'likely', 'trade-off', 'bon', 'bon', 's', 'mass', 'market', 'ambition']","['assess', 'likely', 'trade-off', 'bon', 'bon', 's', 'mass', 'market', 'ambition']",assess likely trade-off bon bon s mass market ambition
85,Question paper - A Level Paper 1 - November 2021.pdf,8,Assess the possible consequences for Bon Bon’s continuing to sell ‘Traffic Light Lollies’ .,12,meeting customer needs,91,"['Assess', 'the', 'possible', 'consequences', 'for', 'Bon', 'Bon’s', 'continuing', 'to', 'sell', '‘Traffic', 'Light', 'Lollies’', '.']",assess possible consequences bon bon’s continuing sell ‘traffic light lollies’ .,80,2021,0,"['assess', 'possible', 'consequences', 'bon', 'bon', '’', 's', 'continuing', 'sell', '‘', 'traffic', 'light', 'lollies', '’', '.']","['assess', 'possible', 'consequences', 'bon', 'bon', 's', 'continuing', 'sell', 'traffic', 'light', 'lollies']","['assess', 'possible', 'consequence', 'bon', 'bon', 's', 'continue', 'sell', 'traffic', 'light', 'lolly']",assess possible consequences bon bon s continuing sell traffic light lollies
86,Question paper - A Level Paper 1 - November 2021.pdf,10,Evaluate these two options and recommend which one is more likely to improve Bon Bon’s profitability.,20,meeting customer needs,101,"['Evaluate', 'these', 'two', 'options', 'and', 'recommend', 'which', 'one', 'is', 'more', 'likely', 'to', 'improve', 'Bon', 'Bon’s', 'profitability.']",evaluate two options recommend one likely improve bon bon’s profitability.,74,2021,0,"['evaluate', 'two', 'options', 'recommend', 'one', 'likely', 'improve', 'bon', 'bon', '’', 's', 'profitability', '.']","['evaluate', 'two', 'options', 'recommend', 'one', 'likely', 'improve', 'bon', 'bon', 's', 'profitability']","['evaluate', 'two', 'option', 'recommend', 'one', 'likely', 'improve', 'bon', 'bon', 's', 'profitability']",evaluate two options recommend one likely improve bon bon s profitability
87,Question paper - A Level Paper 1 - November 2021.pdf,15,"Using the data in Extract D, calculate the percentage growth in the total McDonald’s restaurants operating in Brazil, between 2012 and 2018. State your answer to 2 decimal places. You are advised to show your working.",4,meeting customer needs,217,"['Using', 'the', 'data', 'in', 'Extract', 'D,', 'calculate', 'the', 'percentage', 'growth', 'in', 'the', 'total', 'McDonald’s', 'restaurants', 'operating', 'in', 'Brazil,', 'between', '2012', 'and', '2018.', 'State', 'your', 'answer', 'to', '2', 'decimal', 'places.', 'You', 'are', 'advised', 'to', 'show', 'your', 'working.']","using data extract d, calculate percentage growth total mcdonald’s restaurants operating brazil, 2012 2018. state answer 2 decimal places. you advised show working.",164,2021,0,"['using', 'data', 'extract', 'd', ',', 'calculate', 'percentage', 'growth', 'total', 'mcdonald', '’', 's', 'restaurants', 'operating', 'brazil', ',', '2012', '2018.', 'state', 'answer', '2', 'decimal', 'places', '.', 'you', 'advised', 'show', 'working', '.']","['using', 'data', 'extract', 'd', 'calculate', 'percentage', 'growth', 'total', 'mcdonald', 's', 'restaurants', 'operating', 'brazil', '2012', '2018.', 'state', 'answer', '2', 'decimal', 'places', 'you', 'advised', 'show', 'working']","['use', 'data', 'extract', 'd', 'calculate', 'percentage', 'growth', 'total', 'mcdonald', 's', 'restaurant', 'operate', 'brazil', '2012', '2018.', 'state', 'answer', '2', 'decimal', 'place', 'you', 'advise', 'show', 'work']",using data extract d calculate percentage growth total mcdonald s restaurants operating brazil 2012 2018. state answer 2 decimal places you advised show working
88,Question paper - A Level Paper 1 - November 2021.pdf,16,Explain how one of Ansoff’s generic strategies might be applied to Taco Bell’s decision to enter the Brazilian market.,4,meeting customer needs,118,"['Explain', 'how', 'one', 'of', 'Ansoff’s', 'generic', 'strategies', 'might', 'be', 'applied', 'to', 'Taco', 'Bell’s', 'decision', 'to', 'enter', 'the', 'Brazilian', 'market.']",explain one ansoff’s generic strategies might applied taco bell’s decision enter brazilian market.,98,2021,0,"['explain', 'one', 'ansoff', '’', 's', 'generic', 'strategies', 'might', 'applied', 'taco', 'bell', '’', 's', 'decision', 'enter', 'brazilian', 'market', '.']","['explain', 'one', 'ansoff', 's', 'generic', 'strategies', 'might', 'applied', 'taco', 'bell', 's', 'decision', 'enter', 'brazilian', 'market']","['explain', 'one', 'ansoff', 's', 'generic', 'strategy', 'might', 'apply', 'taco', 'bell', 's', 'decision', 'enter', 'brazilian', 'market']",explain one ansoff s generic strategies might applied taco bell s decision enter brazilian market
91,Question paper - A Level Paper 1 - November 2021.pdf,21,Evaluate these two options and recommend which one is most suitable for Taco Bell to increase its sales in Brazil.,20,meeting customer needs,114,"['Evaluate', 'these', 'two', 'options', 'and', 'recommend', 'which', 'one', 'is', 'most', 'suitable', 'for', 'Taco', 'Bell', 'to', 'increase', 'its', 'sales', 'in', 'Brazil.']",evaluate two options recommend one suitable taco bell increase sales brazil.,76,2021,0,"['evaluate', 'two', 'options', 'recommend', 'one', 'suitable', 'taco', 'bell', 'increase', 'sales', 'brazil', '.']","['evaluate', 'two', 'options', 'recommend', 'one', 'suitable', 'taco', 'bell', 'increase', 'sales', 'brazil']","['evaluate', 'two', 'option', 'recommend', 'one', 'suitable', 'taco', 'bell', 'increase', 'sale', 'brazil']",evaluate two options recommend one suitable taco bell increase sales brazil
92,Question paper - Unit 1 (WBS11) - October 2022.pdf,2,Define the term ‘market share’ .,2,meeting customer needs,32,"['Define', 'the', 'term', '‘market', 'share’', '.']",define term ‘market share’ .,28,2022,0,"['define', 'term', '‘', 'market', 'share', '’', '.']","['define', 'term', 'market', 'share']","['define', 'term', 'market', 'share']",define term market share
93,Question paper - Unit 1 (WBS11) - October 2022.pdf,2,Explain one factor influencing the demand for the rental of electric scooters.,4,the market,78,"['Explain', 'one', 'factor', 'influencing', 'the', 'demand', 'for', 'the', 'rental', 'of', 'electric', 'scooters.']",explain one factor influencing demand rental electric scooters.,63,2022,0,"['explain', 'one', 'factor', 'influencing', 'demand', 'rental', 'electric', 'scooters', '.']","['explain', 'one', 'factor', 'influencing', 'demand', 'rental', 'electric', 'scooters']","['explain', 'one', 'factor', 'influence', 'demand', 'rental', 'electric', 'scooter']",explain one factor influencing demand rental electric scooters
94,Question paper - Unit 1 (WBS11) - October 2022.pdf,3,"Analyse two elements of the design mix, which may be important to the success of electric scooters.",6,marketing mix and strategy,99,"['Analyse', 'two', 'elements', 'of', 'the', 'design', 'mix,', 'which', 'may', 'be', 'important', 'to', 'the', 'success', 'of', 'electric', 'scooters.']","analyse two elements design mix, may important success electric scooters.",73,2022,0,"['analyse', 'two', 'elements', 'design', 'mix', ',', 'may', 'important', 'success', 'electric', 'scooters', '.']","['analyse', 'two', 'elements', 'design', 'mix', 'may', 'important', 'success', 'electric', 'scooters']","['analyse', 'two', 'element', 'design', 'mix', 'may', 'important', 'success', 'electric', 'scooter']",analyse two elements design mix may important success electric scooters
95,Question paper - Unit 1 (WBS11) - October 2022.pdf,4,Discuss the likely differences in the marketing strategy for B2B and B2C sales of electric scooters.,8,marketing mix and strategy,100,"['Discuss', 'the', 'likely', 'differences', 'in', 'the', 'marketing', 'strategy', 'for', 'B2B', 'and', 'B2C', 'sales', 'of', 'electric', 'scooters.']",discuss likely differences marketing strategy b2b b2c sales electric scooters.,78,2022,0,"['discuss', 'likely', 'differences', 'marketing', 'strategy', 'b2b', 'b2c', 'sales', 'electric', 'scooters', '.']","['discuss', 'likely', 'differences', 'marketing', 'strategy', 'b2b', 'b2c', 'sales', 'electric', 'scooters']","['discus', 'likely', 'difference', 'market', 'strategy', 'b2b', 'b2c', 'sale', 'electric', 'scooter']",discuss likely differences marketing strategy b2b b2c sales electric scooters
96,Question paper - Unit 1 (WBS11) - October 2022.pdf,6,Assess the possible risks to an entrepreneur of starting a business to rent out electric scooters in the UK.,10,entrepreneurs and leaders,108,"['Assess', 'the', 'possible', 'risks', 'to', 'an', 'entrepreneur', 'of', 'starting', 'a', 'business', 'to', 'rent', 'out', 'electric', 'scooters', 'in', 'the', 'UK.']",assess possible risks entrepreneur starting business rent electric scooters uk.,79,2022,0,"['assess', 'possible', 'risks', 'entrepreneur', 'starting', 'business', 'rent', 'electric', 'scooters', 'uk', '.']","['assess', 'possible', 'risks', 'entrepreneur', 'starting', 'business', 'rent', 'electric', 'scooters', 'uk']","['assess', 'possible', 'risk', 'entrepreneur', 'start', 'business', 'rent', 'electric', 'scooter', 'uk']",assess possible risks entrepreneur starting business rent electric scooters uk
97,Question paper - Unit 1 (WBS11) - October 2022.pdf,8,Define the term ‘revenue’ .,2,meeting customer needs,27,"['Define', 'the', 'term', '‘revenue’', '.']",define term ‘revenue’ .,23,2022,0,"['define', 'term', '‘', 'revenue', '’', '.']","['define', 'term', 'revenue']","['define', 'term', 'revenue']",define term revenue
98,Question paper - Unit 1 (WBS11) - October 2022.pdf,8,Construct a supply and demand diagram to show the impact on the shoe market of a decrease in the cost of materials used in making shoes.,4,the market,136,"['Construct', 'a', 'supply', 'and', 'demand', 'diagram', 'to', 'show', 'the', 'impact', 'on', 'the', 'shoe', 'market', 'of', 'a', 'decrease', 'in', 'the', 'cost', 'of', 'materials', 'used', 'in', 'making', 'shoes.']",construct supply demand diagram show impact shoe market decrease cost materials used making shoes.,98,2022,0,"['construct', 'supply', 'demand', 'diagram', 'show', 'impact', 'shoe', 'market', 'decrease', 'cost', 'materials', 'used', 'making', 'shoes', '.']","['construct', 'supply', 'demand', 'diagram', 'show', 'impact', 'shoe', 'market', 'decrease', 'cost', 'materials', 'used', 'making', 'shoes']","['construct', 'supply', 'demand', 'diagram', 'show', 'impact', 'shoe', 'market', 'decrease', 'cost', 'material', 'use', 'make', 'shoe']",construct supply demand diagram show impact shoe market decrease cost materials used making shoes
99,Question paper - Unit 1 (WBS11) - October 2022.pdf,9,Analyse two benefits that Birkenstock may gain from consultation with employees before making business decisions.,6,managing people,113,"['Analyse', 'two', 'benefits', 'that', 'Birkenstock', 'may', 'gain', 'from', 'consultation', 'with', 'employees', 'before', 'making', 'business', 'decisions.']",analyse two benefits birkenstock may gain consultation employees making business decisions.,91,2022,0,"['analyse', 'two', 'benefits', 'birkenstock', 'may', 'gain', 'consultation', 'employees', 'making', 'business', 'decisions', '.']","['analyse', 'two', 'benefits', 'birkenstock', 'may', 'gain', 'consultation', 'employees', 'making', 'business', 'decisions']","['analyse', 'two', 'benefit', 'birkenstock', 'may', 'gain', 'consultation', 'employee', 'make', 'business', 'decision']",analyse two benefits birkenstock may gain consultation employees making business decisions
100,Question paper - Unit 1 (WBS11) - October 2022.pdf,10,Discuss the advantages for Birkenstock of using focus groups when designing new shoes.,8,meeting customer needs,86,"['Discuss', 'the', 'advantages', 'for', 'Birkenstock', 'of', 'using', 'focus', 'groups', 'when', 'designing', 'new', 'shoes.']",discuss advantages birkenstock using focus groups designing new shoes.,70,2022,0,"['discuss', 'advantages', 'birkenstock', 'using', 'focus', 'groups', 'designing', 'new', 'shoes', '.']","['discuss', 'advantages', 'birkenstock', 'using', 'focus', 'groups', 'designing', 'new', 'shoes']","['discus', 'advantage', 'birkenstock', 'use', 'focus', 'group', 'design', 'new', 'shoe']",discuss advantages birkenstock using focus groups designing new shoes
101,Question paper - Unit 1 (WBS11) - October 2022.pdf,12,Assess the usefulness of the product life cycle to Birkenstock when making decisions about its product portfolio.,10,marketing mix and strategy,113,"['Assess', 'the', 'usefulness', 'of', 'the', 'product', 'life', 'cycle', 'to', 'Birkenstock', 'when', 'making', 'decisions', 'about', 'its', 'product', 'portfolio.']",assess usefulness product life cycle birkenstock making decisions product portfolio.,84,2022,0,"['assess', 'usefulness', 'product', 'life', 'cycle', 'birkenstock', 'making', 'decisions', 'product', 'portfolio', '.']","['assess', 'usefulness', 'product', 'life', 'cycle', 'birkenstock', 'making', 'decisions', 'product', 'portfolio']","['assess', 'usefulness', 'product', 'life', 'cycle', 'birkenstock', 'make', 'decision', 'product', 'portfolio']",assess usefulness product life cycle birkenstock making decisions product portfolio
102,Question paper - A Level Paper 1 - June 2023.pdf,2,"Using the data in Extract A, explain one way demand for online food deliveries is affected by income elasticity of demand.",4,the market,122,"['Using', 'the', 'data', 'in', 'Extract', 'A,', 'explain', 'one', 'way', 'demand', 'for', 'online', 'food', 'deliveries', 'is', 'affected', 'by', 'income', 'elasticity', 'of', 'demand.']","using data extract a, explain one way demand online food deliveries affected income elasticity demand.",102,2023,0,"['using', 'data', 'extract', 'a', ',', 'explain', 'one', 'way', 'demand', 'online', 'food', 'deliveries', 'affected', 'income', 'elasticity', 'demand', '.']","['using', 'data', 'extract', 'a', 'explain', 'one', 'way', 'demand', 'online', 'food', 'deliveries', 'affected', 'income', 'elasticity', 'demand']","['use', 'data', 'extract', 'a', 'explain', 'one', 'way', 'demand', 'online', 'food', 'delivery', 'affect', 'income', 'elasticity', 'demand']",using data extract a explain one way demand online food deliveries affected income elasticity demand
103,Question paper - A Level Paper 1 - June 2023.pdf,3,"Explain one reason food delivery apps, such as Deliveroo, pay their workers  commission.",4,managing people,88,"['Explain', 'one', 'reason', 'food', 'delivery', 'apps,', 'such', 'as', 'Deliveroo,', 'pay', 'their', 'workers', 'commission.']","explain one reason food delivery apps, deliveroo, pay workers commission.",73,2023,0,"['explain', 'one', 'reason', 'food', 'delivery', 'apps', ',', 'deliveroo', ',', 'pay', 'workers', 'commission', '.']","['explain', 'one', 'reason', 'food', 'delivery', 'apps', 'deliveroo', 'pay', 'workers', 'commission']","['explain', 'one', 'reason', 'food', 'delivery', 'apps', 'deliveroo', 'pay', 'worker', 'commission']",explain one reason food delivery apps deliveroo pay workers commission
104,Question paper - A Level Paper 1 - June 2023.pdf,4,Assess the likely importance of emotional branding to Deliveroo.,10,marketing mix and strategy,64,"['Assess', 'the', 'likely', 'importance', 'of', 'emotional', 'branding', 'to', 'Deliveroo.']",assess likely importance emotional branding deliveroo.,54,2023,0,"['assess', 'likely', 'importance', 'emotional', 'branding', 'deliveroo', '.']","['assess', 'likely', 'importance', 'emotional', 'branding', 'deliveroo']","['assess', 'likely', 'importance', 'emotional', 'brand', 'deliveroo']",assess likely importance emotional branding deliveroo
105,Question paper - A Level Paper 1 - June 2023.pdf,6,Assess the likely value of secondary market research data to Deliveroo’s marketing.,12,meeting customer needs,83,"['Assess', 'the', 'likely', 'value', 'of', 'secondary', 'market', 'research', 'data', 'to', 'Deliveroo’s', 'marketing.']",assess likely value secondary market research data deliveroo’s marketing.,73,2023,0,"['assess', 'likely', 'value', 'secondary', 'market', 'research', 'data', 'deliveroo', '’', 's', 'marketing', '.']","['assess', 'likely', 'value', 'secondary', 'market', 'research', 'data', 'deliveroo', 's', 'marketing']","['assess', 'likely', 'value', 'secondary', 'market', 'research', 'data', 'deliveroo', 's', 'market']",assess likely value secondary market research data deliveroo s marketing
106,Question paper - A Level Paper 1 - June 2023.pdf,9,Evaluate these two options and recommend which one is more likely to improve  the motivation of Deliveroo’s delivery riders.,20,managing people,124,"['Evaluate', 'these', 'two', 'options', 'and', 'recommend', 'which', 'one', 'is', 'more', 'likely', 'to', 'improve', 'the', 'motivation', 'of', 'Deliveroo’s', 'delivery', 'riders.']",evaluate two options recommend one likely improve motivation deliveroo’s delivery riders.,89,2023,0,"['evaluate', 'two', 'options', 'recommend', 'one', 'likely', 'improve', 'motivation', 'deliveroo', '’', 's', 'delivery', 'riders', '.']","['evaluate', 'two', 'options', 'recommend', 'one', 'likely', 'improve', 'motivation', 'deliveroo', 's', 'delivery', 'riders']","['evaluate', 'two', 'option', 'recommend', 'one', 'likely', 'improve', 'motivation', 'deliveroo', 's', 'delivery', 'rider']",evaluate two options recommend one likely improve motivation deliveroo s delivery riders
107,Question paper - A Level Paper 1 - June 2023.pdf,13,"Using the data in Extract D, calculate the difference in Price Elasticity of Demand for PlayStation 2 and the Xbox. State your answer to 2 decimal places. You are advised to show your working.",4,the market,192,"['Using', 'the', 'data', 'in', 'Extract', 'D,', 'calculate', 'the', 'difference', 'in', 'Price', 'Elasticity', 'of', 'Demand', 'for', 'PlayStation', '2', 'and', 'the', 'Xbox.', 'State', 'your', 'answer', 'to', '2', 'decimal', 'places.', 'You', 'are', 'advised', 'to', 'show', 'your', 'working.']","using data extract d, calculate difference price elasticity demand playstation 2 xbox. state answer 2 decimal places. you advised show working.",143,2023,0,"['using', 'data', 'extract', 'd', ',', 'calculate', 'difference', 'price', 'elasticity', 'demand', 'playstation', '2', 'xbox', '.', 'state', 'answer', '2', 'decimal', 'places', '.', 'you', 'advised', 'show', 'working', '.']","['using', 'data', 'extract', 'd', 'calculate', 'difference', 'price', 'elasticity', 'demand', 'playstation', '2', 'xbox', 'state', 'answer', '2', 'decimal', 'places', 'you', 'advised', 'show', 'working']","['use', 'data', 'extract', 'd', 'calculate', 'difference', 'price', 'elasticity', 'demand', 'playstation', '2', 'xbox', 'state', 'answer', '2', 'decimal', 'place', 'you', 'advise', 'show', 'work']",using data extract d calculate difference price elasticity demand playstation 2 xbox state answer 2 decimal places you advised show working
108,Question paper - A Level Paper 1 - June 2023.pdf,14,"Explain one reason why global niche markets may be important to a games developer, such as Sukeban Games.",4,meeting customer needs,105,"['Explain', 'one', 'reason', 'why', 'global', 'niche', 'markets', 'may', 'be', 'important', 'to', 'a', 'games', 'developer,', 'such', 'as', 'Sukeban', 'Games.']","explain one reason global niche markets may important games developer, sukeban games.",85,2023,0,"['explain', 'one', 'reason', 'global', 'niche', 'markets', 'may', 'important', 'games', 'developer', ',', 'sukeban', 'games', '.']","['explain', 'one', 'reason', 'global', 'niche', 'markets', 'may', 'important', 'games', 'developer', 'sukeban', 'games']","['explain', 'one', 'reason', 'global', 'niche', 'market', 'may', 'important', 'game', 'developer', 'sukeban', 'game']",explain one reason global niche markets may important games developer sukeban games
